DATE,NROUST
7/1/2021,4.528
10/1/2021,4.523
1/1/2022,4.519
4/1/2022,4.514
7/1/2022,4.51
10/1/2022,4.505
1/1/2023,4.501
4/1/2023,4.497
7/1/2023,4.492
10/1/2023,4.488
1/1/2024,4.484
4/1/2024,4.48
7/1/2024,4.476
10/1/2024,4.472
1/1/2025,4.468
4/1/2025,4.464
7/1/2025,4.46
10/1/2025,4.456
1/1/2026,4.452
4/1/2026,4.447
7/1/2026,4.443
10/1/2026,4.439
1/1/2027,4.434
4/1/2027,4.429
7/1/2027,4.425
10/1/2027,4.42
1/1/2028,4.415
4/1/2028,4.411
7/1/2028,4.406
10/1/2028,4.401
1/1/2029,4.396
4/1/2029,4.391
7/1/2029,4.386
10/1/2029,4.381
